,S.No,District,Year,Season,Crop,Rainfall(mm),Minimum Temparature(C),Maximum Temperature (C),Ph,N(Kg/Hectar),P(Kg/Hectar),K(Kg/Hectar),Zn(ppm),Fe(ppm),Cu(ppm),Mn(ppm),Irrigation(MBGL),Yield (Bales/Hectare)
124,125,Wanaparthy,2016 - 2017,Kharif,cotton(lint),114.72,26.1,35.3,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,12.14,1.75
125,126,Wanaparthy,2017 - 2018,Kharif,cotton(lint),126.98,25.8,36.1,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,10.06,2.75
126,127,Wanaparthy,2018 - 2019,Kharif,cotton(lint),72.24,23.9,38.1333333333333,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,7.32,1.48
127,128,Wanaparthy,2019 - 2020,Kharif,cotton(lint),131.1,19.8,43,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,7.63,3.39
128,129,Warangal,2014 - 2015,Kharif,cotton(lint),124.5,28.3,39.5,7.56,209,49,552,1.24,24.42,1.87,9.59,10.54,2.66
129,130,Warangal,2015 - 2016,Kharif,cotton(lint),187.74,28.1,37.4,7.56,209,49,552,1.24,24.42,1.87,9.59,10.54,2.56
130,131,Warangal,2016 - 2017,Kharif,cotton(lint),230.26,26.4,38.5,7.56,209,49,552,1.24,24.42,1.87,9.59,11.4,3.03
131,132,Warangal,2017 - 2018,Kharif,cotton(lint),180.36,28.9,37.3,7.56,209,49,552,1.24,24.42,1.87,9.59,9.46,1.7
132,133,Warangal,2018 - 2019,Kharif,cotton(lint),137.6,26.6,39.56,7.56,209,49,552,1.24,24.42,1.87,9.59,10.04,2.64
133,134,Warangal,2019 - 2020,Kharif,cotton(lint),222.48,21.3,45.1,7.56,209,49,552,1.24,24.42,1.87,9.59,11.26,2.82
134,135,Hanumakonda,2016 - 2017,Kharif,cotton(lint),267.02,27.6,38.2,5.5,162.69,18.08,215.84,1.833,4.67,2.76,14.38,11.4,3.03
135,136,Hanumakonda,2017 - 2018,Kharif,cotton(lint),168.04,28.2,36.5,5.5,162.69,18.08,215.84,1.833,4.67,2.76,14.38,9.46,2.26
136,137,Hanumakonda,2018 - 2019,Kharif,cotton(lint),138.62,25.6666666666667,39.7,5.5,162.69,18.08,215.84,1.833,4.67,2.76,14.38,10.04,2.25
137,138,Hanumakonda,2019 - 2020,Kharif,cotton(lint),232.58,21.2,44.4,5.5,162.69,18.08,215.84,1.833,4.67,2.76,14.38,11.26,2.66
138,139,Yadadri Bhuvanagiri,2016 - 2017,Kharif,cotton(lint),155.98,26.1,36.5,6.54,170.7,34.1,283.1,3.2,8.3,1.6,7.2,17.07,1.65
139,140,Yadadri Bhuvanagiri,2017 - 2018,Kharif,cotton(lint),137.66,28.5,37.3,6.54,170.7,34.1,283.1,3.2,8.3,1.6,7.2,12.83,2.46
140,141,Yadadri Bhuvanagiri,2018 - 2019,Kharif,cotton(lint),76.08,24.8666666666667,39.4,6.54,170.7,34.1,283.1,3.2,8.3,1.6,7.2,13.32,1.61
141,142,Yadadri Bhuvanagiri,2019 - 2020,Kharif,cotton(lint),146.6,20,44.4,6.54,170.7,34.1,283.1,3.2,8.3,1.6,7.2,15.6,3.1
142,143,Adilabad,2014 - 2015,Kharif,Maize,156.04,29.1,40.5,7.55,180,17.6,284,1.35,14,0.58,12.88,14.415,2.62
143,144,Adilabad,2015 - 2016,Kharif,Maize,165.74,26.1,37.6,7.55,180,17.6,284,1.35,14,0.58,12.88,14.415,3.12
144,145,Adilabad,2016 - 2017,Kharif,Maize,240.52,27.3,38.3,7.55,180,17.6,284,1.35,14,0.58,12.88,14.7,3.46
145,146,Adilabad,2017 - 2018,Kharif,Maize,180.18,27.6,37.4,7.55,180,17.6,284,1.35,14,0.58,12.88,13.95,3.45
146,147,Adilabad,2018 - 2019,Kharif,Maize,256.06,25.38,39.94,7.55,180,17.6,284,1.35,14,0.58,12.88,14.83,3.1
147,148,Adilabad,2019 - 2020,Kharif,Maize,204.62,16.8,45.9,7.55,180,17.6,284,1.35,14,0.58,12.88,14.18,4.84
148,149,Bhadradri Kothagudem,2016 - 2017,Kharif,Maize,250.18,27.2,37.6,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,13.07,4.17
149,150,Bhadradri Kothagudem,2017 - 2018,Kharif,Maize,194.08,28.6,37.6,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,12.05,4.13
150,151,Bhadradri Kothagudem,2018 - 2019,Kharif,Maize,205.84,25.8,40.0333333333333,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,12.31,2.51
151,152,Bhadradri Kothagudem,2019 - 2020,Kharif,Maize,225.18,21.6,44.9,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,11.33,5.24
152,153,Jagtial,2016 - 2017,Kharif,Maize,212.14,26.9,38.2,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,11.15,4.54
153,154,Jagtial,2017 - 2018,Kharif,Maize,127.66,27.5,37.2,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,7.43,4.46
154,155,Jagtial,2018 - 2019,Kharif,Maize,191.68,24.6,40.2666666666667,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,9.14,6.35
155,156,Jagtial,2019 - 2020,Kharif,Maize,221.96,19.4,45.4,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,8.41,5.84
156,157,Jangoan,2016 - 2017,Kharif,Maize,198.66,26,36.9,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,16.42,4.25
157,158,Jangoan,2017 - 2018,Kharif,Maize,148,26.8,37.3,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,14.23,4.88
158,159,Jangoan,2018 - 2019,Kharif,Maize,111.3,23.8666666666667,39.5333333333333,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,12.79,5.71
159,160,Jangoan,2019 - 2020,Kharif,Maize,184.22,18.8,44.4,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,14.65,5.5
160,161,Jayashankar Bhoopalpally,2016 - 2017,Kharif,Maize,237.16,27.8,38.5,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,11.92,4.25
161,162,Jayashankar Bhoopalpally,2017 - 2018,Kharif,Maize,170.72,28.9,37.3,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,12.69,7
162,163,Jayashankar Bhoopalpally,2018 - 2019,Kharif,Maize,217.76,25.9555555566667,40.4666666666667,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,12.42,6.8
163,164,Jayashankar Bhoopalpally,2019 - 2020,Kharif,Maize,266.4,21.16666667,45.6,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,16.3,4.85
164,165,Jogulamba Gadwal,2016 - 2017,Kharif,Maize,110.1,25.1,34.7,8.2,156.17,37.9,289.96,0.88,7.52,1.16,10.01,11.83,1.09
165,166,Jogulamba Gadwal,2017 - 2018,Kharif,Maize,138.54,27.1,35.9,8.2,156.17,37.9,289.96,0.88,7.52,1.16,10.01,9.75,5.64
